,Name,id,likes,date,posts,retweets
38,HoustonRockets,19077044,1017,2019-03-04 20:00:01,WARNING: THIS VIDEO CONTAINS AN EXTREME AMOUNT OF HYPE. @CP3 @JHarden13 @StateFarm https://t.co/Eqf2vIcGDv,241
39,HoustonRockets,19077044,1093,2019-03-04 19:08:32,ROSTER UPDATE: Rockets General Manager Daryl Morey announced today that the team has signed forward Terrence Jones… https://t.co/qPpwV4IkAT,157
40,HoustonRockets,19077044,192,2019-03-04 19:00:00,Check out the #MakeItHappen #PlaysOfTheWeek presented by @ConnsInc! 🔥 https://t.co/rzUi0URfcs,32
41,HoustonRockets,19077044,524,2019-03-04 18:30:12,Practice in Toronto #RunAsOne 🚀 https://t.co/c8bHW1Y1Xm,57
42,HoustonRockets,19077044,77,2019-03-04 18:00:00,"🚨 FAN APPRECIATION T-SHIRT CONTEST 🚨

🚀 Winning t-shirt will be sold as the Item of the Game on Fan Night (April 7t… https://t.co/glPFAGi6u8",14
43,HoustonRockets,19077044,490,2019-03-04 16:00:00,These #SPLASHGORDON highlights are 🔥 https://t.co/RuSCfQTF1E,95
44,HoustonRockets,19077044,402,2019-03-04 15:30:00,"PJ Tucker talks about leadership and how the squad got the big win in Boston. 

#RunAsOne 🚀 https://t.co/cQANi8FWqm",39
45,HoustonRockets,19077044,523,2019-03-04 15:00:00,"12 assists for @CP3! 

🏀⤵️ https://t.co/2TOHg9Gl7B",82
46,HoustonRockets,19077044,0,2019-03-04 14:41:31,"RT @HoustonRockets: RT for the MVP. 

🏀: 42 points https://t.co/IarM67P8mN",3392
47,HoustonRockets,19077044,558,2019-03-04 14:30:00,"""We are catching a rhythm on both ends of the court."" 

🎥⤵️ https://t.co/n46RqxpqeI",77
48,HoustonRockets,19077044,2381,2019-03-04 14:00:01,42 POINTS l UNGUARDABLE. 😤 https://t.co/ci3HumPquC,500
49,HoustonRockets,19077044,0,2019-03-04 04:45:16,"RT @MarkJonesESPN: First let me say Harden,CP3 were great this afternoon..
Seeing PJ Tucker make winnning play after winning big play on ef…",324
50,HoustonRockets,19077044,895,2019-03-03 23:41:57,"#TheUnguardableTour continues.... 

🏀 42PTS
📸 https://t.co/tYWJxqwXXI

#PhotoOfTheGame | @rokitofficial https://t.co/tmI1NzcoK2",191
