,Name,id,likes,date,posts,retweets
42,Lakers,20346956,1476,2019-03-05 01:35:04,#LakeShow in the building 🏠 https://t.co/whGK1zFBrq,166
43,Lakers,20346956,761,2019-03-05 01:16:40,"The North Carolina town of 20,000 that produced two Los Angeles Lakers. 

Former All-Star Jerry Stackhouse on the u… https://t.co/IW4smQhoBc",192
44,Lakers,20346956,0,2019-03-05 01:08:40,RT @SouthBayLakers: Johnathan Williams (two-way) and Isaac Bonga (assigned) will be with the @Lakers for their game tonight against the LA…,68
45,Lakers,20346956,4677,2019-03-05 00:15:13,Showin’ out for the city https://t.co/oEW2rzeD6W,533
46,Lakers,20346956,794,2019-03-04 23:07:06,"Back home for an intracity matchup at 7:30 PT!

📺: @SpectrumSN in L.A. NBA TV nationally
📻: 710 ESPN &amp; 1330 KWKW

https://t.co/1GaQt3ei5a",135
47,Lakers,20346956,341,2019-03-04 21:54:21,"Mark Madsen sits down to provide the scouting report for tonight's game against the Clippers, presented by @Delta https://t.co/ueJ7PuR7W8",58
48,Lakers,20346956,0,2019-03-04 21:53:29,"RT @LakersGaming: Adding 3️⃣ more members to the #LakersGaming family tomorrow!

Watch the @NBA2KLeague Draft live on @Twitch Tuesday at 2p…",32
49,Lakers,20346956,0,2019-03-04 20:20:33,"RT @LakersReporter: Talked to Jerry Stackhouse about fellow Kinston, N.C. natives that he mentored, Brandon Ingram and Reggie Bullock: http…",263
50,Lakers,20346956,934,2019-03-04 19:32:41,"Lance Stephenson (left foot, second toe sprain) is out for tonight. 

Tyson Chandler (neck stiffness) is questionable.",120
51,Lakers,20346956,902,2019-03-03 16:00:00,"The team honored TSgt Andre Lyles of the Air Force by giving him a unique Lakers experience, as part of @Delta's Sa… https://t.co/vXay1DLBtL",90
52,Lakers,20346956,3897,2019-03-03 04:36:16,Final from Arizona. https://t.co/8unYBej2bG,598
53,Lakers,20346956,777,2019-03-03 04:28:04,The King hammers it down to make it a one-possession game!,94
54,Lakers,20346956,0,2019-03-03 04:26:57,"RT @LakersReporter: LAL have the ball down 112-107 with 1:19 to play, needing points to keep the pressure on the Suns. LeBron’s up to 25 po…",47
55,Lakers,20346956,1840,2019-03-03 04:16:04,3️⃣-ball on the way 💦 https://t.co/xEK0bjqtoc,211
56,Lakers,20346956,0,2019-03-03 04:15:14,"RT @LakersReporter: LAL within 8 after LeBron’s and-1, and his 3 on the next trip. Still 5 minutes left.",54
57,Lakers,20346956,1150,2019-03-03 03:55:01,Heading to the final frame. https://t.co/GhY9QUQ746,180
58,Lakers,20346956,2038,2019-03-03 03:35:17,"B.I. using every inch of that 7'3"" wingspan to get the rim.

#LakeShow (📺: @SpectrumSN) https://t.co/9QRNVeoBTe",270
59,Lakers,20346956,2536,2019-03-03 03:19:28,The 👑 can go get it!! https://t.co/b3dmRIrTJN,475
60,Lakers,20346956,610,2019-03-03 03:10:47,Halftime. https://t.co/Q5ZXfJXVFD,106
61,Lakers,20346956,1345,2019-03-03 03:09:46,"Ball fake ➡️ handoff ➡️ dunk

#LakeShow (📺: @SpectrumSN) https://t.co/tTiuiVcPSa",206
62,Lakers,20346956,1542,2019-03-03 03:07:15,🔨🔨🔨 https://t.co/eHg4Fz5BS9,153
63,Lakers,20346956,0,2019-03-03 03:01:03,"RT @LakersReporter: With a layup driving to his right, LeBron passed Kobe Bryant for 5th on the all-time field goals made list in NBA histo…",193
64,Lakers,20346956,763,2019-03-03 02:55:01,Play through the contact https://t.co/c7nAxdOg8G,99
65,Lakers,20346956,1721,2019-03-03 02:47:14,"JaVale stays with the play.

#LakeShow (📺: @SpectrumSN) https://t.co/pGlFZl6TDp",217
66,Lakers,20346956,517,2019-03-03 02:38:50,12 minutes into it. https://t.co/bEMKtDjlQf,61
67,Lakers,20346956,4608,2019-03-03 02:24:30,"Go get it, @KingJames

#LakeShow (📺: @SpectrumSN) https://t.co/QpDI99VtdP",891
68,Lakers,20346956,0,2019-03-03 02:23:12,"RT @LakersReporter: With that alley-oop to LeBron, Rajon Rondo passed Deron Williams for 20th on the NBA’s all-time assist list (6,820). Le…",141
69,Lakers,20346956,2291,2019-03-03 02:21:32,Lob 👑 https://t.co/HnQfVYTLD8,455
70,Lakers,20346956,2121,2019-03-03 02:19:52,Just lob it up. The King will do the rest. 👑💥,180
71,Lakers,20346956,308,2019-03-03 02:12:00,Bullock splashes the triple on the game's first possession. #BullsEye 🎯,49
72,Lakers,20346956,215,2019-03-03 02:10:54,Ball is up. #LakeShow https://t.co/vNCbNyircw,51
73,Lakers,20346956,512,2019-03-03 02:09:48,#SuitingUpTogether from Phoenix https://t.co/1CpDPlZWtl,96
74,Lakers,20346956,603,2019-03-03 02:09:23,START IT UP! https://t.co/8Z2dlpzh51,109
75,Lakers,20346956,307,2019-03-03 02:00:00,"Time to get started in the desert! 

📺: @SpectrumSN
📻: 710 ESPN &amp; 1330 KWKW

https://t.co/lPAJrUWo4F",50
76,Lakers,20346956,1772,2019-03-03 01:59:50,Flow 🌊 https://t.co/AwVyEYeKH9,244
77,Lakers,20346956,871,2019-03-03 01:53:24,Suit up and roll #LakeShow https://t.co/GGhI2LFEmw,120
78,Lakers,20346956,933,2019-03-03 01:30:58,#LakeShow love https://t.co/hTo1W0SfnY,127
79,Lakers,20346956,1263,2019-03-03 01:11:38,Shots going up ☄️ https://t.co/akot1LJuBb,131
80,Lakers,20346956,8393,2019-03-02 23:38:30,Don't worry about a thing https://t.co/8kR2E7LTuo,1171
81,Lakers,20346956,1395,2019-03-02 23:22:53,#LakeShow among the 🌵 tonight https://t.co/wpdlUk82N4,186
82,Lakers,20346956,1240,2019-03-02 17:00:00,"No rest for the #LakeShow. Back at it tonight at 6 PT!

📺: @SpectrumSN
📻: 710 ESPN &amp; 1330 KWKW

https://t.co/lPAJrUEMG5",172
83,Lakers,20346956,745,2019-03-02 07:46:38,"B.I. and LeBron slammed their way to huge nights, but the Bucks ultimately added to the NBA's best record. 

https://t.co/Ib8e4JaO59",81
84,Lakers,20346956,1199,2019-03-02 07:26:17,🎥 Brandon Ingram talks about continuing to be aggressive during the best stretch of his young career. https://t.co/iqL68TNW16,186
85,Lakers,20346956,951,2019-03-02 07:17:39,🎥 LeBron James discusses the missed opportunities that cost the Lakers in their late loss to Milwaukee. https://t.co/CbBayXbhMl,164
86,Lakers,20346956,445,2019-03-02 06:47:11,🎥 Luke was pleased with the way the team played for most of the game but felt individual defense struggled. https://t.co/GjyEhJxOLh,68
87,Lakers,20346956,1263,2019-03-02 06:34:52,🎥 LeBron James pours in 31 points and 10 assists to fuel the Lakers’ offense against the Bucks. https://t.co/FXgPJVlvJk,256
88,Lakers,20346956,2527,2019-03-02 06:34:03,"🎥 Brandon Ingram continues his red-hot streak with a 31-point effort, including his monster dunk. https://t.co/p63IKbzKAL",515
