,Name,id,likes,date,posts,retweets
44,warriors,26270913,1418,2019-03-03 02:06:33,KD with 13 points early 🔥🔥🔥 https://t.co/gRnCfXCYHC,156
45,warriors,26270913,630,2019-03-03 02:01:21,"Check in and go to work, @1jordanbell 👌

📺 #NBAonABC https://t.co/cpu7I6j2rL",82
46,warriors,26270913,1579,2019-03-03 01:49:35,"Steph #SPLASH💦

📺 #NBAonABC https://t.co/diLi6NzJo7",258
47,warriors,26270913,1002,2019-03-03 01:41:02,Game. On. #DubNation,191
48,warriors,26270913,845,2019-03-03 01:39:12,Starters in Philly ⬇️ https://t.co/XUPDQPHDxC,143
49,warriors,26270913,0,2019-03-03 00:47:42,"RT @NBA: Quinn Cook x Jordan Bell pregame in Philly!

🏀: #HereTheyCome x #DubNation
⏰: 8:30pm/et  📺: #NBAonABC https://t.co/yexgKEFNRM",129
50,warriors,26270913,0,2019-03-03 00:37:26,"RT @WarriorsPR: Injury report for tonight's game at Philadelphia: Klay Thompson (right knee soreness), Kevon Looney (right pelvic soreness)…",123
51,warriors,26270913,849,2019-03-03 00:30:00,"🏀 GSW vs. PHI
🕓 5:30 PM
📺 ABC
📻 95.7 The Game
📱 https://t.co/ZkjPJjiF76 
🗒️ https://t.co/0xqon6dV5e https://t.co/u4YChPowHM",112
52,warriors,26270913,1655,2019-03-02 21:52:00,"March 2, 1962. 

Wilt Chamberlain dropped 100 points &amp; grabbed the win. 

57 years later, he still holds the record… https://t.co/VHck3WlNFu",325
53,warriors,26270913,3748,2019-03-02 19:30:08,"Congrats on 100 career titles, @rogerfederer 🏆

#RF100 https://t.co/IcWm2cYauv",622
54,warriors,26270913,573,2019-03-02 18:45:00,"Dubs. Sixers.

Here's what you need to know ⬇️

https://t.co/HFVoxJY41F",66
55,warriors,26270913,2701,2019-03-02 17:11:00,"Grattis på födelsedagen, @JonasJerebko! 🇸🇪🎉

#DubNation https://t.co/efI9iwxbvK",247
56,warriors,26270913,1514,2019-03-02 16:37:00,#DubNation heads to the City of Brotherly Love https://t.co/l2V9iHLool,205
57,warriors,26270913,1054,2019-03-02 03:44:00,"Dubs close out the road trip with some Saturday night hoops

Get ready ⤵️

https://t.co/0xqon5WkdG",102
58,warriors,26270913,718,2019-03-01 22:14:00,"“We’re living in a time where women are making these incredible strides.“

When @GSWDanceTeam member Anisha isn’t o… https://t.co/jd1lLLBbnJ",75
59,warriors,26270913,657,2019-03-01 18:42:00,"""What we're building here is a piece of Warriors history and a piece of basketball history. Something that's unique… https://t.co/kbPMxeHb8G",114
60,warriors,26270913,694,2019-03-01 04:21:29,"Game three of the East Coast road swing is in the books.

https://t.co/UfV7R5u0s8",62
61,warriors,26270913,638,2019-03-01 02:56:35,"Dubs drop a hard-fought game in Orlando.

See more in the Game Rewind, presented by @Verizon https://t.co/yUlOHYMsqx",84
62,warriors,26270913,1085,2019-03-01 02:28:20,"Final 📊

Stephen: 33p/8r/6a
DeMarcus: 21p/11r/2a/1s/1b
Klay: 21p/3r
Draymond: 5p/6r/3a/1s/1b
Jordan: 6p/8r/1a
Alfon… https://t.co/QrCgEVTxpc",161
63,warriors,26270913,2921,2019-03-01 02:16:32,Tough one in Orlando. https://t.co/Ic3v6BIxS8,360
64,warriors,26270913,2620,2019-03-01 02:11:35,A N G L E S https://t.co/v54kLvgmhH,346
65,warriors,26270913,0,2019-03-01 01:51:43,RT @WarriorsPR: DeMarcus Cousins has his second-straight 20-point/10-rebound game and fifth-straight double-double with 21 points and 10 bo…,117
66,warriors,26270913,806,2019-03-01 01:50:21,"spin cycle 🔄

📺 @NBCSAuthentic https://t.co/Y4c77Pv173",114
67,warriors,26270913,5521,2019-03-01 01:41:30,3⃣0⃣ for 3⃣0⃣ https://t.co/TBT2UALJHr,827
68,warriors,26270913,837,2019-03-01 01:34:20,https://t.co/2qHp3V70rF,63
69,warriors,26270913,1344,2019-03-01 01:31:48,"flex on 'em, Draymond 💪

📺 @NBCSAuthentic https://t.co/ZV01TwABPq",127
70,warriors,26270913,635,2019-03-01 01:27:27,"🗣 GET OUT THE WAY

📺 @NBCSAuthentic https://t.co/OmdzIvbPPA",92
71,warriors,26270913,612,2019-03-01 01:21:05,"Draymond opens the half with a #SPLASH💦

📺 @NBCSAuthentic https://t.co/WsEhAULgVL",80
