social_tags_id,tags,related_media_id
1," 'lifemode'",2021288391509626278
2," 'dubnation'",2021288391509626278
3," 'letsgo'",2021288391509626278
4," 'playoffs'",2021288391509626278
5," 'ruinthegame' ",2021288391509626278
6," 'qsinspiration'",2020528396871038319
7," 'ad' ",2020528396871038319
8," '5minutesfromhome' ",2020116994209383929
9," 'uarush'",2019736370139361089
10," 'wewill' ",2019736370139361089
11," 'nationalsiblingday' ",2019404139352861470
12," 'ad'",2017888647895163841
13," 'rakuten' ",2017888647895163841
14," 'onceuponatime' ",2017301219681581773
15," 'webelieve' ",2017299077122074155
16," 'killacrossover'",2015886583350567311
17," 'inyoface' ",2015886583350567311
18," '15'",2013740788203650745
19," 'goose'",2013740788203650745
20," 'beans' ",2013740788203650745
21," '5minutesfromhome' ",2009675958945349886
22," '30'",2006376513042619771
23," 'ishiboosdirty30' ",2006376513042619771
24," '5minutesfromhome' ",2005297504137388069
25," 'mood'",1999382953143334549
26," 'piday' ",1999382953143334549
27," 'internationalwomensday' ",1995645020901005809
28," 'internationalwomensday' ",1995270829282550196
29," 'internationalwomensday'",1994098196641991489
30," 'iwd' ",1994098196641991489
31," '3' ",1990211586514896078
32," '44' ",1983936267847988202
33," 'buzzcity'",1981035950789568815
34," 'dcfor3' ",1981035950789568815
35," 'tcc'",1980397073271777212
36," 'greatdaytobeawildcat' ",1980397073271777212
37," 'foreverlove' ",1979168319711013971
38," 'flash'",1976739339158569789
39," 'onelastdance' ",1976739339158569789
40," 'gamechanger' ",1975786803014557411
41," 'dubnation' ",1962281303878728486
42," 'gimme10' ",1962280978677567295
43," 'dubnation' ",1957899047093659482
44," 'treyball'",1955083954786079994
45," 'dubnation' ",1955083954786079994
46," 'ad'",1954172708620408512
47," 'qxinspiration'",1954172708620408512
48," 'naias' ",1954172708620408512
49," 'underrated' ",1953119644581014234
50," 'ruinthegame' ",1950681452447746907
51," 'backyardtothenba' ",1945592378238130410
52," 'calichristmas' ",1942459868293408955
53," 'oakland' ",1939776045613178343
54," '15k'",1936900955330515570
55," 'dubnation'",1936900955330515570
56," '10inthetown'",1936900955330515570
57," 'ruinthegame' ",1936900955330515570
58," 'curry6' ",1933793746736148622
59," 'breakthroughmovie' ",1927797914895606592
60," 'halloween'",1902629206866884473
61," 'peepthekicks'",1902629206866884473
62," 'uaicon' ",1902629206866884473
63," 'ruinthegame'",1901287525320112870
64," 'headbandklay'",1901287525320112870
65," '14'",1901287525320112870
66," 'makingroccoproud' ",1901287525320112870
67," 'dubnation'",1899107008407612478
68," 'fergieremixchallenge' ",1899107008407612478
69," 'ruinthegame' ",1897767408619661340
70," 'vatech'",1896444439591065380
71," '3sportathlete' ",1896444439591065380
72," 'dubnation' ",1894127142071344319
73," 'back2back'",1891985176667665869
74," 'godisgreat'",1891985176667665869
75," 'dubnation' ",1891985176667665869
76," 'letsgo'",1890757033848107914
77," 'liveinthemoment' ",1890757033848107914
78," 'youngwolf' ",1889100707359354178
79," 'squad'",1887406867552193200
80," 'biggerthanbasketball' ",1887406867552193200
81," 'dubnation' ",1885970037942325358
82," '116'",1882542487241066133
83," 'unashamed' ",1882542487241066133
84," 'justus'",1875805013416569812
85," 'dubnation' ",1875805013416569812
86," 'sc30' ",1868131914462541966
87," 'sc30asiatour' ",1867230149622010360
88," 'sc30asiatour'",1866631940889594990
89," 'tokyo' ",1866631940889594990
90," 'sc30asiatour' ",1865319561505340649
91," 'sc30asiatour'",1863537074957635265
92," 'shampionship' ",1863537074957635265
93," 'sc30asiatour'",1862462920397168214
94," 'wireddifferent'",1862462920397168214
95," 'manila'",1862462920397168214
96," 'wuhan'",1862462920397168214
97," 'tokyo' ",1862462920397168214
98," 'flowergirls'",1859091270926814856
99," 'theydidit' ",1859091270926814856
100," 'legendsneverdie' ",1856414231350298704
101," 'starstuddedyear' ",1852654240734779209
102," 'basketballisbasketball' ",1846124287809686114
103," 'sc30selectcamp' ",1841217780798310612
104," 'squad' ",1840510869429818056
105," '5minutesfromhome' ",1835858386429631357
106," 'rileyroo' ",1827330800528135130
107," 'sc30'",1826575414296816753
108," 'unanimousmedia' ",1826575414296816753
109," 'curry5'",1825915391982064697
110," 'shirtgame100' ",1825915391982064697
111," 'dubnation' ",1824409166976729131
112," 'supermom' ",1823603804749017847
113," 'bigthreeyrold' ",1820775174805137300
114," 'celebrityfamilyfeud' ",1809000841508579345
115," 'whatamiwearing' ",1806810915715411888
116," 'theoriginator'",1803892301980589164
117," 'boyanek' ",1803892301980589164
118," 'brovsbro' ",1801129390940162643
119," 'triplecrown'",1797763531521829813
120," 'dubnation' ",1797763531521829813
121," 'trainthemind'",1755287502522138866
122," 'mentalhealth' ",1755287502522138866
123," 'nationalsiblingday' ",1754756046917924330
124," 'noflings' ",1741716059507102791
125," 'checkthekicks'",1736875911854297006
126," 'ua'",1736875911854297006
127," 'c4' ",1736875911854297006
128," 'tcc' ",1735897604882993906
129," 'dirty30'",1734550247948112915
130," '30turns30' ",1734550247948112915
131," 'internationalwomensday' ",1730889477964374201
132," 'teamstephen'",1717984650237897463
133," 'la2018'",1717984650237897463
134," 'nbaallstar'",1717984650237897463
135," '5x' ",1717984650237897463
136," '3' ",1706173676275111262
137," 'nightlife' ",1703534877921664110
138," 'nbaallstar2018' ",1700236617547125132
139," 'fam' ",1699237029164052245
140," 'mlk' ",1693311475889981748
141," 'acc' ",1692221388259240119
142," 'ad' ",1685744942229624772
143," '2017'",1682558476808773016
144," '2018' ",1682558476808773016
145," 'curry4' ",1682153342651957259
146," 'ad' ",1681490087453602408
147," 'moms' ",1681479438912513908
148," 'pops' ",1681039953070420400
149," 'wearetheones'",1679296089091522227
150," 'thekeeperscode' ",1679296089091522227
151," 'ko8e24' ",1672976592760144996
152," 'dubnation' ",1666429823402192295
153," 'dubnation'",1666299084060915483
154," 'scambush' ",1666299084060915483
155," 'thetown'",1656403856210503780
156," 'thefanny' ",1656403856210503780
157," 'ad' ",1653192801204251651
158," 'sheesh' ",1652718956865218533
159," 'dubnation' ",1652580081865990862
160," 'ad' ",1648287811759091703
161," 'squad' ",1642387856758425174
162," 'keeppounding' ",1641592793375771287
163," 'jigsaw'",1636629387485083924
164," 'dubnation' ",1636629387485083924
165," 'gogetthat'",1634941585781385256
166," 'sdot'",1634941585781385256
167," 'wewill'",1634941585781385256
168," '44' ",1634941585781385256
169," 'curry4' ",1634570532794116004
170," '23'",1630120556403690401
171," 'lookingatyourbrightfuture' ",1630120556403690401
172," 'ineedmesomehome' ",1628874534952361477
173," 'dubnation' ",1628649561486556418
174," 'ad' ",1627281741943350570
175," 'bushrodcommunitycenter' ",1626537152277998017
176," 'moremagic'",1620717617662844111
177," 'shanghainights' ",1620717617662844111
178," 'sneakerwars' ",1618874739562938709
179," 'covergirl' ",1608941199506044029
180," 'roadofherdreams'",1600932926453891051
181," 'ad'",1600932926453891051
182," 'infiniti'",1600932926453891051
183," 'q50'",1600932926453891051
184," 'performance'",1600932926453891051
185," 'empowerthedrive' ",1600932926453891051
186," 'ad' ",1598189555268331744
187," '29' ",1591158788554165688
188," 'oracleofsoccer' ",1589453162887145387
189," 'flourishing' ",1587662083133161016
190," 'pgachampionship' ",1577974245521307820
191," 'teamua' ",1577751596681406186
192," '704' ",1577315802624011137
193," 'sc30select' ",1577056560176170634
194," 'ad'",1576956647014810641
195," 'q50' ",1576956647014810641
196," 'sc30select'",1576602759460013602
197," 'bayarea'",1576602759460013602
198," 'espnu' ",1576602759460013602
199," 'wesgotthis'",1574413531338705117
200," 'foe' ",1574413531338705117
201," '44' ",1574056641878525028
202," 'q50'",1571913155771297726
203," 'ad' ",1571913155771297726
204," 'six' ",1570604536186375108
205," 'mygod' ",1568119699835796596
206," 'seoulmates' ",1567961017756111596
207," 'sc30asiatour' ",1567220809167037840
208," 'sc30asiatour' ",1567094288096068172
209," 'sc30asiatour' ",1567093953508013102
210," 'chengdu'",1565615518793136543
211," 'sc30asiatour' ",1565615518793136543
212," 'sc30asiatour' ",1564459956516875145
213," 'familybusiness' ",1564288483453925722
214," 'sc30asiatour' ",1564105965748606540
215," 'q50' ",1563188162099057809
216," 'unicorn'",1562640059872619116
217," 'ryry'",1562640059872619116
218," '5'",1562640059872619116
219," 'podiumgame' ",1562640059872619116
220," 'curry4'",1560569033571621423
221," 'golfinginjoggers' ",1560569033571621423
222," 'ballers' ",1557642032527381732
223," 'dayone' ",1551113442809632577
224," '704' ",1548310287315233073
225," 'swaggy' ",1548280167624052590
226," 'keepitsimple' ",1548107315180420960
227," 'ham4all'",1545806934194655257
228," 'thatgirlgood' ",1545806934194655257
229," 'iwill'",1542444086437347396
230," 'teamua'",1542444086437347396
231," 'thefuture' ",1542444086437347396
232," 'dubnation' ",1541066349697090021
233," 'bloomberg' ",1540878268658594597
234," 'pops' ",1540179267789488646
235," 'wardkovalev2'",1539627610345285377
236," 'sog' ",1539627610345285377
237," '2times' ",1538016610307198915
238," 'stronggenes' ",1514975085143610713
239," 'iwill' ",1509698750066320314
240," 'beam'",1496008856139863127
241," 'telepresence'",1496008856139863127
242," 'suitabletech' ",1496008856139863127
243," 'heisrisen' ",1494575478039590259
244," 'worldmalariaday' ",1491513195684070708
245," 'nationalsiblingday' ",1490227496133531186
246," 'trainthemind' ",1488054696446566827
247," 'layupking'",1486883803477521876
248," 'beepbeep' ",1486883803477521876
249," 'afternoonactivities' ",1486540850229715078
250," 'lobstah' ",1483203207613919373
251," 'tbt' ",1477259017159781602
252," 'mymarkhamting' ",1476994315389316351
253," 'jblxnba'",1476214027893670042
254," 'ad' ",1476214027893670042
255," 'familybusiness' ",1475663279715900038
256," '29'",1470689641896069311
257," 'morelife' ",1470689641896069311
258," 'hamilton'",1469391413581745336
259," 'bars' ",1469391413581745336
260," 'streamteam'",1469042004570571591
261," 'ad' ",1469042004570571591
262," '30k'",1465770695577075917
263," 'dirk' ",1465770695577075917
264," 'getout' ",1465681295086269011
265," 'anotherlevel' ",1465667327215013959
266," 'family1st' ",1465283791878389437
267," 'gameday' ",1463845539929850530
268," 'nyc'",1463461098472439259
269," 'curry3zer0' ",1463461098472439259
270," 'defeatmalaria' ",1461436163117813186
271," 'dubnation'",1461053126290979323
272," 'strenghtinnumber' ",1461053126290979323
273," 'dubnation' ",1457139307428930109
274," 'nbaallstar'",1455506117383669907
275," 'jblxnba'",1455506117383669907
276," 'sponsored' ",1455506117383669907
277," 'nola' ",1452364884259772883
278," 'dreambigger'",1451601757750667687
279," 'activedreamers'",1451601757750667687
280," 'allstar'",1451601757750667687
281," 'nba' ",1451601757750667687
282," 'dubnation' ",1447464434016196712
283," 'mood' ",1443398471457369513
284," 'anotherlevel'",1439607074069629963
285," 'mondaymotivation' ",1439607074069629963
286," 'beardgang' ",1438295606845823915
287," 'squad'",1436722495516282096
288," 'dubnation' ",1436722495516282096
289," 'orginal30'",1435808777756228326
290," 'dcfor3' ",1435808777756228326
291," '20' ",1435700398810890249
292," 'dubnation' ",1433649241246516178
293," 'dubnation' ",1431704506084686163
294," '44' ",1431375035586669360
295," '44' ",1429326997309502091
296," '2016bestnine' ",1417895104416520180
297," 'oaklandstrong'",1416830374339845939
298," 'ghostship' ",1416830374339845939
299," 'classic' ",1415828447196043387
300," 'ad' ",1415826556840005468
301," 'dubnation' ",1411370327069468477
302," 'oaklandstrong'",1409702428244232990
303," 'ghostship' ",1409702428244232990
304," 'teamjbl' ",1409366130300224375
305," 'ghostship'",1406204890849505359
306," 'oaklandstrong' ",1406204890849505359
307," 'sagerstrong' ",1406111278505781377
308," 'dreambigger'",1403902957484847790
309," 'activedreamers' ",1403902957484847790
310," 'oaklandfire'",1400388617012099586
311," 'ghostship' ",1400388617012099586
312," 'belowtherim' ",1391930512314100985
313," 'dubnation' ",1390465973143961970
314," 'dubnation' ",1389083827569307571
315," 'roadwarriors' ",1386819492113354784
316," 'torontonights' ",1385399503909250435
317," 'dubnation' ",1383161487971014153
318," 'squad' ",1381654615975624977
319," 'foe' ",1380363918819585307
320," 'internationalsmoke'",1377446868048616990
321," 'mannequinchallenge' ",1377446868048616990
322," 'ayeshashomemade' ",1376284845847859426
323," 'dubnation' ",1374266594217205312
324," 'shuttlesworth' ",1374108367563311780
325," 'dubnation' ",1369067305685969213
326," 'iwill' ",1368250407420111398
327," 'curryops'",1367285747371883127
328," 'curry3' ",1367285747371883127
329," 'curry3'",1366973301193102144
330," 'curryops' ",1366973301193102144
331," 'foodnetwork' ",1365547645276123467
332," 'georgicapond' ",1363195133168554981
333," 'dubnation' ",1361361995811419448
334," 'poweredbyhealth' ",1354602640344770490
335," 'dubnation' ",1351880614072243168
336," '8760' ",1348814963849823343
337," 'theseasonedlife' ",1348258343873124929
338," 'iwill' ",1344414526921204920
339," 'canelo'",1341817327011773590
340," 'ringside' ",1341817327011773590
341," 'gripandrip' ",1341733126929573942
342," 'nyfw'",1339432113065402920
343," 'beyondambitious' ",1339432113065402920
344," 'tcdisrupt'",1338915422417845713
345," 'endmalaria' ",1338915422417845713
346," 'itcomesfrombelow'",1335018343937081635
347," 'iwill' ",1335018343937081635
348," 'sc30aisatour' ",1333365558053316873
349," 'sc30asiatour' ",1332198397997785242
350," 'sc30asiatour' ",1332188974478907672
351," 'sc30asiatour' ",1331152867800694012
352," 'sc30asiatour' ",1330885234606121193
353," 'sc30asiatour' ",1329390648264068434
354," 'sc30asiatour' ",1329380958205512736
355," 'anotherlevel' ",1328431905263082689
356," 'theseasonedlife' ",1320768144993811249
357," 'tanzania'",1320023140796993308
358," 'malaria'",1320023140796993308
359," 'malaria'",1320023140796993308
360," 'dubnation'",1320023140796993308
361," 'tbt'",1320023140796993308
362," 'endmalaria' ",1320023140796993308
363," 'dreambigger' ",1317489362832724201
364," 'teamua'",1315040495709448353
365," 'ruleyourself'",1315040495709448353
366," 'iwill' ",1315040495709448353
367," 'internationalsmoke' ",1313499981201620193
368," 'currylux' ",1310401551763973222
369," 'unc' ",1304928878447323681
370," 'blessednotlucky' ",1304598765516321823
371," 'nbpatechsummit' ",1298599265052020893
372," 'nbpatechsummit' ",1298598958079380126
373," 'natethurmond' ",1296093604158263033
374," 'july10'",1291813790026963103
375," 'chookahchookah' ",1291813790026963103
376," 'teamua' ",1291590927546100826
377," 'dubnation' ",1288043443162996395
378," 'weddingseason' ",1285608800207941610
379," 'sc30select' ",1283679840041618223
380," 'emoji'",1263322808156288923
381," 'ios'",1263322808156288923
382," 'android'",1263322808156288923
383," 'stephmoji'",1263322808156288923
384," 'sc30' ",1263322808156288923
385," 'ihopeyoudance' ",1245938532293145796
386," 'happymothersday' ",1245934734174712885
387," 'dubnation' ",1242607359408076279
388," 'callyourshot'",1235076301565326657
389," 'dubnation'",1235076301565326657
390," 'callyourshot' ",1235076301565326657
391," '73'",1228074804759622678
392," 'lockin'",1228074804759622678
393," 'dubnation' ",1228074804759622678
394," 'mambaout' ",1228071547228256231
395," '2'",1222838378468078888
396," 'drivethegame'",1222838378468078888
397," 'themasters'",1222838378468078888
398," 'teamua' ",1222838378468078888
399," 'hardwork'",1216261638014760881
400," 'anotherlevel' ",1216261638014760881
401," 'sog' ",1214897859104470359
402," 'caronbutler'",1214842713829930745
403," 'nba' ",1214842713829930745
404," 'focusedanddriven'",1212582250329011890
405," 'noflings' ",1212582250329011890
406," 'ua'",1209157109532194199
407," 'iwill' ",1209157109532194199
408," 'point314' ",1206141165453046876
409," 'dinnerandamovie' ",1205426922323834715
410," 'ruleyourself' ",1203214819257087396
411," 'purplerain' ",1198363918709159555
412," 'dubnation' ",1188587560990798902
413," 'ua' ",1184390302623725381
414," 'teamslyce'",1183823861994354002
415," 'asw2016' ",1183823861994354002
416," 'dubnation'",1183700338198050351
417," 'iwill'",1183700338198050351
418," 'asw2016'",1183700338198050351
419," '416'",1183700338198050351
420," 'sc30'",1183700338198050351
421," 'ua' ",1183700338198050351
422," 'asw2016'",1183649218675209555
423," 'ua'",1183649218675209555
424," 'sc30' ",1183649218675209555
425," 'currytwo'",1183517661763335746
426," 'playformore' ",1183517661763335746
427," 'slyceallaccess' ",1182724430041577128
428," 'teamslyce'",1182711624344925501
429," 'slyceallaccess' ",1182711624344925501
430," 'slyceallaccess' ",1182695034211661603
431," 'slyceallaccess' ",1182680420166006124
432," 'asw2016'",1182517389314356510
433," 'toronto'",1182517389314356510
434," '416' ",1182517389314356510
435," 'slyceallaccess' ",1181272721759008306
436," 'currytwo' ",1180646665104521196
437," 'keeppounding' ",1179961070640297490
438," 'teamslyce' ",1178382928905631285
439," 'defeatmalaria' ",1177771975780464103
440," 'potus'",1177628914219873534
441," 'whitehouse' ",1177628914219873534
442," '8760'",1176297246599017809
443," '8760membership'",1176297246599017809
444," 'apollojets' ",1176297246599017809
445," 'ua' ",1176269752089048643
446," 'dubnation'",1172819103833782251
447," 'cazzierussell' ",1172819103833782251
448," 'chasecenter' ",1172725321612261143
449," 'mood' ",1169973719667176731
450," 'knowwhentowalkaway' ",1169250012636247482
451," 'dg23'",1167715905993307580
452," 'kt11'",1167715905993307580
453," 'dubnation' ",1167715905993307580
454," 'graham1695'",1166339239983314781
455," 'dailywatch' ",1166339239983314781
456," 'mlk' ",1165494538724046587
457," 'wcw' ",1161893203168589755
458," 'teamslyce' ",1161252188980115419
459," 'tailgate' ",1154616089964836375
460," 'goals' ",1152610225523389788
461," 'tcc'",1149689301320988485
462," 'greatdaytobeawildcat' ",1149689301320988485
463," 'strongereveryday' ",1147339737331005275
464," 'expressmen' ",1142375950362474272
465," 'coachupway' ",1140682031434167766
466," 'expressmen' ",1135206810891712273
467," 'theinstagator' ",1134594649748273142
468," 'bogut'",1128616398643131983
469," '18' ",1128616398643131983
470," 'givingback'",1127069749739385863
471," 'assistslikemagic' ",1127069749739385863
472," 'improveyourgame' ",1126179233199945515
473," 'sweaterweather'",1124997514228790566
474," 'expressmen' ",1124997514228790566
475," 'iwill' ",1123322950956479658
476," 'elnino' ",1114579624233137382
477," 'tbt'",1106975069744002917
478," 'dadshavefuntoo' ",1106975069744002917
479," 'tbt' ",1106752653822391302
480," 'grocerygames' ",1106749538838640538
481," 'expressmen' ",1106094875831301371
482," 'strongereveryday' ",1105838799378577168
483," 'iphone6s' ",1105339948725041066
484," 'dubnation'",1104388678480688196
485," 'teamjbl' ",1104388678480688196
486," 'improveyourgame' ",1103679210541414083
487," 'currytwo'",1103217767895397586
488," 'dubnation'",1103217767895397586
489," 'rallydubnation' ",1103217767895397586
490," 'dubnation'",1102560229969491246
491," 'guitarherotvstar' ",1102560229969491246
492," 'surrender' ",1102560030521947430
493," 'dubnation'",1101625534985401815
494," 'currytwo'",1101625534985401815
495," 'rallydubnation' ",1101625534985401815
496," 'rallydubnation' ",1100785712121116002
497," 'keeppounding' ",1098881189983155912
498," 'chealseaboots'",1093920995754767393
499," 'imlookingatsomethingimportant' ",1093920995754767393
500," 'sf' ",1092880507127855048
501," 'mygirlmovie' ",1090162838284924841
502," 'swimfan' ",1089673321811670784
503," 'dubnation' ",1089422633118594615
504," 'dubnation' ",1082728654285174327
505," 'nba2k16' ",1081412113480414964
506," 'growthandprosperity' ",1080834274234332934
507," 'improveyourgame' ",1079761369434027381
508," 'nba2k16'",1079406708608857713
509," 'whatisthisvelvet'",1079406708608857713
510," 'nice' ",1079406708608857713
511," 'nba2k16'",1079345784069944693
512," 'currytwo' ",1079345784069944693
513," 'keeppounding' ",1078358227475625111
514," 'hardwork'",1076395082565679054
515," 'sc30select' ",1076395082565679054
516," 'ad'",2007645790784593571
